epsilon,dataset_size,mse,result,time
2.5,4000,11.064316749572754,11.064316749572754,35.91671919822693
2.5,4000,11.383871078491213,11.383871078491213,35.9664318561554
2.5,4000,11.154537200927734,11.154537200927734,35.9105110168457
2.5,4000,11.241230010986328,11.241230010986328,35.88937997817993
2.5,4000,11.539612770080565,11.539612770080565,35.92918992042541
2.75,4000,11.395400047302244,11.395400047302244,35.9924373626709
2.75,4000,11.178112030029297,11.178112030029297,35.902475118637085
2.75,4000,11.447009086608887,11.447009086608887,36.0863847732544
2.75,4000,11.364084243774414,11.364084243774414,37.51021027565002
2.75,4000,10.978161811828613,10.978161811828613,37.67163181304932
-1.0,5000,11.858495712280273,11.858495712280273,15.004111051559448
0.1,5000,19.29262351989746,19.29262351989746,46.676092624664314
0.1,5000,19.340801239013672,19.340801239013672,46.67973518371582
0.1,5000,25.10562515258789,25.10562515258789,46.76493525505066
0.1,5000,18.524734497070312,18.524734497070312,46.66678094863892
0.1,5000,13.595195770263672,13.595195770263672,46.64647698402405
1.0,5000,12.56989288330078,12.56989288330078,46.77121019363403
1.0,5000,12.428353309631348,12.428353309631348,46.76736378669739
1.0,5000,12.41234016418457,12.41234016418457,46.724236965179436
1.0,5000,12.379487991333008,12.379487991333008,46.69588708877564
1.0,5000,12.212847709655762,12.212847709655762,46.71311140060425
0.25,5000,12.593388557434082,12.593388557434082,46.80106973648071
0.25,5000,13.069697380065918,13.069697380065918,46.6206111907959
0.25,5000,12.495720863342285,12.495720863342285,46.68647432327271
0.25,5000,12.364904403686525,12.364904403686525,46.70872950553894
0.25,5000,12.534854888916016,12.534854888916016,46.75832009315491
0.75,5000,12.555688858032227,12.555688858032227,46.706568956375115
0.75,5000,12.409209251403807,12.409209251403807,46.79898071289063
0.75,5000,12.288320541381836,12.288320541381836,46.808837890625
0.75,5000,12.620925903320312,12.620925903320312,46.663408041000366
0.75,5000,12.401846885681152,12.401846885681152,46.64168334007263
2.25,5000,12.48349380493164,12.48349380493164,46.75015926361084
2.25,5000,12.459189414978027,12.459189414978027,46.91098260879517
2.25,5000,12.315000534057615,12.315000534057615,46.809720039367676
2.25,5000,12.57304859161377,12.57304859161377,46.821599245071404
2.25,5000,12.527867317199707,12.527867317199707,46.71710777282715
0.5,5000,12.515462875366213,12.515462875366213,46.76403045654297
0.5,5000,12.205818176269533,12.205818176269533,46.731818199157715
0.5,5000,12.630736351013185,12.630736351013185,46.844168186187744
0.5,5000,12.368134498596193,12.368134498596193,46.578381299972534
0.5,5000,12.464587211608887,12.464587211608887,44.65522050857544
2.0,5000,12.399419784545898,12.399419784545898,44.72031354904175
2.0,5000,12.36799144744873,12.36799144744873,44.76113343238831
2.0,5000,12.367172241210938,12.367172241210938,44.81712222099304
2.0,5000,12.405102729797365,12.405102729797365,44.82424378395081
2.0,5000,12.53414249420166,12.53414249420166,44.87356758117676
1.75,5000,12.429095268249512,12.429095268249512,44.84269881248474
1.75,5000,12.481555938720705,12.481555938720705,44.719338655471795
1.75,5000,12.51913356781006,12.51913356781006,44.817788362503045
1.75,5000,12.325273513793945,12.325273513793945,44.69959449768066
1.75,5000,12.396343231201172,12.396343231201172,44.81755805015564
1.25,5000,12.452943801879885,12.452943801879885,44.84820556640625
1.25,5000,12.410415649414062,12.410415649414062,44.79117727279663
1.25,5000,12.514642715454102,12.514642715454102,44.74901366233826
1.25,5000,12.415738105773926,12.415738105773926,44.751386642456055
1.25,5000,12.274803161621096,12.274803161621096,45.7648184299469
1.5,5000,12.324332237243652,12.324332237243652,46.85858464241028
1.5,5000,12.424677848815918,12.424677848815918,46.777913093566895
1.5,5000,12.35768985748291,12.35768985748291,46.84947848320007
1.5,5000,12.331226348876953,12.331226348876953,46.837530612945564
1.5,5000,12.473531723022461,12.473531723022461,46.76722383499146
2.5,5000,12.41938018798828,12.41938018798828,46.86193561553955
2.5,5000,12.404966354370115,12.404966354370115,46.793863773345954
2.5,5000,12.382614135742188,12.382614135742188,46.78972291946411
2.5,5000,12.472516059875488,12.472516059875488,46.83551478385925
2.5,5000,12.326333999633787,12.326333999633787,46.96940684318543
3.0,5000,12.464675903320312,12.464675903320312,46.837245225906365
3.0,5000,12.402198791503904,12.402198791503904,46.86751222610474
3.0,5000,12.288583755493164,12.288583755493164,46.85522198677063
3.0,5000,12.40035915374756,12.40035915374756,46.89568638801575
3.0,5000,12.432418823242188,12.432418823242188,46.87783098220825
2.75,5000,12.50041389465332,12.50041389465332,46.88287925720215
2.75,5000,12.395400047302244,12.395400047302244,46.88821530342102
2.75,5000,12.337583541870115,12.337583541870115,46.845765113830566
2.75,5000,12.379302978515625,12.379302978515625,46.80892992019653
2.75,5000,12.32540512084961,12.32540512084961,46.88722562789917
-1.0,5499,11.304240226745605,11.304240226745605,16.46706461906433
0.25,5499,12.13521671295166,12.13521671295166,51.3745813369751
0.25,5499,11.692187309265135,11.692187309265135,49.48391556739807
0.25,5499,11.657585144042967,11.657585144042967,49.211474657058716
0.25,5499,12.302325248718262,12.302325248718262,49.203240871429436
0.25,5499,11.507620811462402,11.507620811462402,49.064282178878784
0.1,5499,13.212945938110352,13.212945938110352,49.095263957977295
0.1,5499,15.454087257385256,15.454087257385256,49.098721265792854
0.1,5499,15.532257080078125,15.532257080078125,49.25809144973755
0.1,5499,14.015666007995605,14.015666007995605,49.21643042564392
0.1,5499,13.356752395629885,13.356752395629885,49.16946220397949
1.0,5499,11.471908569335938,11.471908569335938,49.15749478340149
1.0,5499,11.634867668151855,11.634867668151855,49.07171893119812
1.0,5499,11.623095512390135,11.623095512390135,49.14407348632813
1.0,5499,11.540515899658205,11.540515899658205,49.242377281188965
1.0,5499,11.643721580505373,11.643721580505373,49.91862845420837
0.5,5499,11.449990272521973,11.449990272521973,51.36810660362244
0.5,5499,11.582615852355955,11.582615852355955,51.48001146316528
0.5,5499,11.69926929473877,11.69926929473877,50.735316038131714
0.5,5499,11.511418342590332,11.511418342590332,49.19420218467712
0.5,5499,11.421319007873535,11.421319007873535,49.26400589942932
0.75,5499,11.625282287597654,11.625282287597654,49.31052112579346
0.75,5499,11.916580200195312,11.916580200195312,49.20427989959717
0.75,5499,11.69857692718506,11.69857692718506,49.18829011917114
0.75,5499,11.672934532165527,11.672934532165527,49.126233339309685
0.75,5499,11.830559730529785,11.830559730529785,49.10673141479492
2.0,5499,11.631967544555664,11.631967544555664,49.36369562149048
2.0,5499,11.556661605834961,11.556661605834961,49.36345362663269
2.0,5499,11.592340469360352,11.592340469360352,49.341944456100464
2.0,5499,11.592501640319824,11.592501640319824,49.226664543151855
2.0,5499,11.566036224365234,11.566036224365234,49.25198340415954
1.25,5499,11.688430786132812,11.688430786132812,49.09681534767151
1.25,5499,11.614922523498535,11.614922523498535,49.93521189689636
1.25,5499,11.610755920410154,11.610755920410154,51.53442096710205
1.25,5499,11.512746810913086,11.512746810913086,51.44424057006836
1.25,5499,11.638829231262207,11.638829231262207,51.47824215888977
1.75,5499,11.582388877868652,11.582388877868652,51.42890286445618
1.75,5499,11.652668952941895,11.652668952941895,51.479708909988396
1.75,5499,11.582258224487305,11.582258224487305,51.56283950805664
1.75,5499,11.540170669555664,11.540170669555664,51.49507594108582
1.75,5499,11.61296844482422,11.61296844482422,51.51276683807373
1.5,5499,11.607261657714846,11.607261657714846,51.513203620910645
1.5,5499,11.695060729980467,11.695060729980467,51.3922655582428
1.5,5499,11.548885345458984,11.548885345458984,51.56223154067993
1.5,5499,11.617016792297365,11.617016792297365,51.4810357093811
1.5,5499,11.475128173828125,11.475128173828125,51.44707131385803
2.75,5499,11.511839866638185,11.511839866638185,51.51503562927246
2.75,5499,11.545092582702635,11.545092582702635,51.48672842979431
2.75,5499,11.512166023254395,11.512166023254395,51.531471252441406
2.75,5499,11.605533599853516,11.605533599853516,51.4629533290863
2.75,5499,11.550678253173828,11.550678253173828,51.471951007843025
2.25,5499,11.486153602600098,11.486153602600098,51.45548605918884
2.25,5499,11.49461269378662,11.49461269378662,51.61695289611816
2.25,5499,11.695241928100586,11.695241928100586,51.53016805648804
2.25,5499,11.535374641418455,11.535374641418455,51.4251651763916
2.25,5499,11.53480625152588,11.53480625152588,51.291841745376594
3.0,5499,11.566868782043455,11.566868782043455,51.61254239082336
3.0,5499,11.627331733703613,11.627331733703613,51.41820168495178
3.0,5499,11.659160614013672,11.659160614013672,51.473008632659905
3.0,5499,11.578557968139648,11.578557968139648,51.58087015151978
3.0,5499,11.540603637695312,11.540603637695312,51.47838878631592
2.5,5499,11.480509757995605,11.480509757995605,51.42978549003601
2.5,5499,11.532930374145508,11.532930374145508,51.639593839645386
2.5,5499,11.609667778015135,11.609667778015135,51.59833025932312
2.5,5499,11.547404289245605,11.547404289245605,51.514561414718635
2.5,5499,11.613654136657715,11.613654136657715,51.4405746459961
