dataset_size,epsilon,result,evaluation_tool,tool,sd,query,time
8500,2.0,143.92010901520257,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-05-13T20:58:29,,
9000,2.0,87.32305829719415,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-05-13T22:06:43,,
9358,2.0,50.14139769304463,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-05-13T23:13:00,,
1000,2.25,133.52334372761672,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-05-13T17:14:49,,
2000,2.25,41.36162469740466,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-05-13T17:22:50,,
3000,2.25,35.601419648784784,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-05-13T17:31:54,,
4000,2.25,248.7903689728853,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-05-13T17:45:55,,
5000,2.25,412.05921065556055,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-05-13T18:08:03,,
6000,2.25,88.04900703516692,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-05-13T18:36:58,,
7000,2.25,289.61339606732247,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-05-13T19:17:26,,
8000,2.25,85.86188322200434,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-05-13T20:07:39,,
8500,2.25,400.63236544860035,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-05-13T21:10:51,,
9000,2.25,330.5242916798691,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-05-13T22:14:05,,
9358,2.25,36.81675999473362,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.25_2021-05-13T23:25:04,,
1000,2.5,32.04795358023977,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.5_2021-05-13T17:15:34,,
2000,2.5,57.426139012056765,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.5_2021-05-13T17:23:52,,
3000,2.5,195.32501154546472,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.5_2021-05-13T17:32:50,,
4000,2.5,53.33313039722838,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.5_2021-05-13T17:49:31,,
5000,2.5,81.43702728719326,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.5_2021-05-13T18:09:47,,
6000,2.5,184.2761221210332,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.5_2021-05-13T18:42:37,,
7000,2.5,45.746392328407595,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.5_2021-05-13T19:25:35,,
8000,2.5,61.61083215668296,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.5_2021-05-13T20:17:49,,
8500,2.5,100.74471926653494,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.5_2021-05-13T21:19:56,,
9000,2.5,30.049136679419817,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.5_2021-05-13T22:26:26,,
9358,2.5,250.2620804825487,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.5_2021-05-13T23:36:17,,
1000,2.75,72.30067695483672,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.75_2021-05-13T17:16:56,,
2000,2.75,43.23450962151972,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.75_2021-05-13T17:24:44,,
3000,2.75,34.85668270347001,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.75_2021-05-13T17:34:28,,
4000,2.75,42.11988256808565,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.75_2021-05-13T17:51:30,,
5000,2.75,211.03534172838536,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.75_2021-05-13T18:15:30,,
6000,2.75,81.37873626459803,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.75_2021-05-13T18:45:26,,
7000,2.75,33.234034601921195,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.75_2021-05-13T19:32:14,,
8000,2.75,74.31287048308005,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.75_2021-05-13T20:27:47,,
8500,2.75,195.71685371663676,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.75_2021-05-13T21:27:07,,
