query,dataset_size,epsilon,result,tool,time
count_insured,3000,0.5,0.0,smartnoise_dpctgan,
count_ppeducat,3000,0.5,0.0,smartnoise_dpctgan,
count_ppincimp,3000,0.5,0.0,smartnoise_dpctgan,
count_q1,3000,0.5,0.0,smartnoise_dpctgan,
histogram_insured,3000,0.5,581.9112667529076,smartnoise_dpctgan,
histogram_ppeducat,3000,0.5,254.31015189468064,smartnoise_dpctgan,
histogram_ppincimp,3000,0.5,83.15192098654833,smartnoise_dpctgan,
histogram_q1,3000,0.5,207.32136692202522,smartnoise_dpctgan,
sum_insured,3000,0.5,53.65767045454546,smartnoise_dpctgan,
sum_ppeducat,3000,0.5,25.194832924095227,smartnoise_dpctgan,
sum_ppincimp,3000,0.5,13.19191089419894,smartnoise_dpctgan,
sum_q1,3000,0.5,16.2956008583691,smartnoise_dpctgan,
avg_insured,4000,0.5,53.00721732157177,smartnoise_dpctgan,
avg_ppeducat,4000,0.5,21.43085787451985,smartnoise_dpctgan,
avg_ppincimp,4000,0.5,1.608216524424793,smartnoise_dpctgan,
avg_q1,4000,0.5,9.460946094609458,smartnoise_dpctgan,
count_insured,4000,0.5,0.0,smartnoise_dpctgan,
count_ppeducat,4000,0.5,0.0,smartnoise_dpctgan,
count_ppincimp,4000,0.5,0.0,smartnoise_dpctgan,
count_q1,4000,0.5,0.0,smartnoise_dpctgan,
histogram_insured,4000,0.5,542.6830941560243,smartnoise_dpctgan,
histogram_ppeducat,4000,0.5,243.2671859722301,smartnoise_dpctgan,
histogram_ppincimp,4000,0.5,32.3500095177293,smartnoise_dpctgan,
histogram_q1,4000,0.5,127.24260911015928,smartnoise_dpctgan,
sum_insured,4000,0.5,53.00721732157177,smartnoise_dpctgan,
sum_ppeducat,4000,0.5,21.430857874519845,smartnoise_dpctgan,
sum_ppincimp,4000,0.5,1.6082165244247886,smartnoise_dpctgan,
sum_q1,4000,0.5,9.460946094609461,smartnoise_dpctgan,
avg_insured,5000,0.5,53.06034482758621,smartnoise_dpctgan,
avg_ppeducat,5000,0.5,27.359346642468235,smartnoise_dpctgan,
avg_ppincimp,5000,0.5,3.7173835338972956,smartnoise_dpctgan,
avg_q1,5000,0.5,0.023792529145863193,smartnoise_dpctgan,
count_insured,5000,0.5,0.0,smartnoise_dpctgan,
count_ppeducat,5000,0.5,0.0,smartnoise_dpctgan,
count_ppincimp,5000,0.5,0.0,smartnoise_dpctgan,
count_q1,5000,0.5,0.0,smartnoise_dpctgan,
histogram_insured,5000,0.5,485.03577833954756,smartnoise_dpctgan,
histogram_ppeducat,5000,0.5,209.09002944404568,smartnoise_dpctgan,
histogram_ppincimp,5000,0.5,52.5627011592932,smartnoise_dpctgan,
histogram_q1,5000,0.5,104.92663999025027,smartnoise_dpctgan,
sum_insured,5000,0.5,53.060344827586206,smartnoise_dpctgan,
sum_ppeducat,5000,0.5,27.35934664246824,smartnoise_dpctgan,
sum_ppincimp,5000,0.5,3.7173835338972956,smartnoise_dpctgan,
sum_q1,5000,0.5,0.023792529145848205,smartnoise_dpctgan,
avg_insured,6000,0.5,63.83630791418786,smartnoise_dpctgan,
avg_ppeducat,6000,0.5,22.13578500707214,smartnoise_dpctgan,
avg_ppincimp,6000,0.5,14.038701622971278,smartnoise_dpctgan,
avg_q1,6000,0.5,13.276146486308146,smartnoise_dpctgan,
count_insured,6000,0.5,0.0,smartnoise_dpctgan,
count_ppeducat,6000,0.5,0.0,smartnoise_dpctgan,
count_ppincimp,6000,0.5,0.0,smartnoise_dpctgan,
count_q1,6000,0.5,0.0,smartnoise_dpctgan,
histogram_insured,6000,0.5,554.5697014093562,smartnoise_dpctgan,
histogram_ppeducat,6000,0.5,163.3189608153809,smartnoise_dpctgan,
histogram_ppincimp,6000,0.5,77.5746723135195,smartnoise_dpctgan,
histogram_q1,6000,0.5,252.9487731359784,smartnoise_dpctgan,
sum_insured,6000,0.5,63.83630791418785,smartnoise_dpctgan,
